parameter,value,timestamp
Full_Spectrum,194,1550169195.7159944
Infrared,24,1550169195.7159944
Visible,170,1550169195.7159944
Full_Spectrum,193,1550169196.0278094
Infrared,24,1550169196.0278094
Visible,169,1550169196.0278094
Full_Spectrum,194,1550169201.3102677
Infrared,24,1550169201.3102677
Visible,170,1550169201.3102677
Full_Spectrum,193,1550169205.7391713
Infrared,24,1550169205.7391713
Visible,169,1550169205.7391713
Full_Spectrum,194,1550169215.1159422
Infrared,24,1550169215.1159422
Visible,170,1550169215.1159422
Full_Spectrum,194,1550169221.4889963
Infrared,24,1550169221.4889963
Full_Spectrum,194,1550169221.725576
Visible,170,1550169221.4889963
Infrared,24,1550169221.725576
Visible,170,1550169221.725576
Full_Spectrum,194,1550169226.5339506
Infrared,24,1550169226.5339506
Visible,170,1550169226.5339506
Full_Spectrum,194,1550169226.8822927
Infrared,24,1550169226.8822927
Visible,170,1550169226.8822927
